"Duration..in.seconds."	"ResponseId"	"age"	"sex"	"sex_3_TEXT"	"eth"	"eth_9_TEXT"	"rel"	"rel_8_TEXT"	"conLib_1"	"conLib_2"	"sdo_1"	"sdo_2"	"sdo_3"	"sdo_4"	"sdo_5"	"sdo_6"	"sdo_7"	"sdo_8"	"rwa_1"	"rwa_2"	"rwa_3"	"rwa_4"	"rwa_5"	"rwa_6"	"rwa_7"	"rwa_8"	"rwa_9"	"pols_1"	"pols_2"	"pols_3"	"pols_4"	"pols_5"	"beth_1"	"beth_2"	"beth_3"	"beth_4"	"bethSym1_4"	"stanley_1"	"stanley_2"	"stanley_3"	"stanley_4"	"stanleySym1_1"	"tina_1"	"tina_2"	"tina_3"	"tina_4"	"tinaSym1_1"	"speaker_1"	"speaker_2"	"speaker_3"	"speaker_4"	"speakerSym1_1"	"bethCheck"	"bethSRel"	"bethSwitch_1"	"bethSwitch_2"	"bethSwitch_3"	"bethSwitch_4"	"bethSym2_1"	"stanleyCheck"	"stanleySRel"	"stanleySwitch_1"	"stanleySwitch_2"	"stanleySwitch_3"	"stanleySwitch_4"	"stanleySym2_1"	"tinaCheck"	"tinaSRel"	"tinaSwitch_1"	"tinaSwitch_2"	"tinaSwitch_3"	"tinaSwitch_4"	"tinaSym2_1"	"speakerCheck"	"speakerSRel"	"speakerSwitch_1"	"speakerSwitch_2"	"speakerSwitch_3"	"speakerSwitch_4"	"speakerSym2_1"	"box"	"leftFirst"	"order"	"mTurkCode"	"team"	"id"	"sdo"	"sdo_level"	"SDO"	"lsdo"	"slsdo"	"apc_1"	"apc_2"	"frs_1"	"frs_2"	"frs_3"	"rwa"	"apc"	"bethAtt"	"tinaAtt"	"stanleyAtt"	"speakerAtt"	"totalAtt"	"beth"	"bethSwitch"	"tina"	"tinaSwitch"	"speaker"	"speakerSwitch"	"stanley"	"stanleySwitch"	"liked2"	"liked2_2"	"sdo_level2"	"message"	"sdo_level2c"	"bethDiff"	"tinaDiff"	"stanDiff"	"speaDiff"
"316"	"R_YWzfvGD4E0oZRER"	21	"Male"	""	"Caucasian"	""	"Christianity"	""	"27"	"27"	3	5	4	7	4	2	2	3	4	3	6	3	"7 Strongly agree"	"3 Slightly disagree"	"6 Agree"	"4 Neutral"	"5 Slightly agree"	10	17	47	-46	-9	5	4	6	3	"11"	3	4	4	4	"0"	4	3	4	4	"0"	2	6	2	5	"2"	"Democrats"	"To some extent"	5	4	5	4	"4"	"Donald Trump"	"To some extent"	3	5	5	4	"0"	"People are too sensitive about race and gender"	"To some extent"	5	4	3	3	"0"	"Support for affirmative action"	"To some extent"	1	4	5	5	"0"	""	"1"	"7"	"1508013"	"reps"	1	3.75	"high"	1.11875	1.32175583998232	0.522959212273541	6	6	5	3	4	4	6	0	0	1	0	1	4.5	4.5	3.75	3.75	3.75	3.75	3.75	4.25	-1	-1.11875	"high"	1	1	0	0	0.5	0
"262"	"R_8D1us1DwUvvHNsd"	29	"Female"	""	"Caucasian"	""	"Christianity"	""	"40"	"47"	5	3	3	3	6	6	3	3	5	3	5	6	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"1 Strongly disagree"	-44	30	77	-100	-100	5	2	5	3	"-66"	2	2	6	2	"-59"	7	7	5	7	"59"	5	7	7	5	"70"	"Republicans"	"To a large extent"	5	4	6	7	"67"	"Hillary Clinton"	"Not at all"	1	2	2	1	"-32"	"People are too sensitive about race and gender"	"Not at all"	7	5	3	7	"51"	"Support of multiculturalism"	"&nbsp;"	4	1	2	6	"78"	""	"0"	"12"	"6567434"	"reps"	2	4	"high"	1.36875	1.38629436111989	0.587497733411112	6	2	6	6	0	4.75	4	0	1	1	0	2	3.75	5.5	6.5	5.5	6	3.25	3	1.5	1	1.36875	"high"	-1	1	1.75	-1	-1.5	-2.75
"322"	"R_2XbU47ooahV5pjK"	37	"Male"	""	"Caucasian"	""	"Agnostic"	""	"50"	"50"	6	6	5	4	6	6	8	8	0	8	3	3	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"1 Strongly disagree"	-46	-100	100	-100	-100	1	7	6	7	"0"	7	7	7	7	"0"	7	4	1	6	"0"	5	4	4	4	"0"	"Democrats"	"Not at all"	7	7	7	7	"0"	"Hillary Clinton"	"Not at all"	7	7	7	7	"0"	"People are too sensitive about race and gender"	"Not at all"	7	5	1	7	"0"	"Support of multiculturalism"	"Not at all"	5	1	4	7	"0"	""	"0"	"16"	"2643176"	"reps"	3	6.125	"high"	3.49375	1.81237875643079	1.01358212872201	6	2	6	6	0	3.5	4	1	1	1	0	3	5.25	7	4.5	5	4.25	4.25	7	7	1	3.49375	"high"	-1	1	1.75	0.5	0	0
"500"	"R_11YfOT3damo8Vnv"	24	"Male"	""	"Caucasian"	""	"Atheist"	""	"37"	"50"	2	1	3	3	1	1	3	3	3	7	5	3	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"2 Disagree"	-100	50	100	-100	-100	4	6	2	6	"21"	3	4	5	7	"12"	1	3	2	1	"70"	5	6	6	7	"71"	"Democrats"	"&nbsp;"	4	7	4	6	"0"	"Hillary Clinton"	"&nbsp;"	4	4	5	7	"0"	"People are too sensitive about race and gender"	"Not at all"	1	4	3	2	"42"	"Opposition to multiculturalism"	"&nbsp;"	5	6	6	7	"0"	""	"0"	"22"	"4447436"	"reps"	4	2.125	"medium"	-0.50625	0.75377180237638	-0.045024825332398	6	2	6	6	1	4.5	4	1	1	1	1	4	4.5	5.25	1.75	2.5	6	6	4.75	5	-1	-0.50625	"low"	-1	-1	0.75	0.75	0.25	0
"520"	"R_3efsTdtvSgkx2oL"	35	"Female"	""	"Caucasian"	""	"Christianity"	""	"50"	"50"	4	4	2	5	5	4	5	5	6	7	3	3	"7 Strongly agree"	"4 Neutral"	"7 Strongly agree"	"7 Strongly agree"	"4 Neutral"	-5	17	81	-100	-51	6	6	6	7	"78"	7	7	7	7	"93"	4	4	3	4	"27"	5	4	4	7	"10"	"Democrats"	"Not at all"	6	6	6	6	"-49"	"Hillary Clinton"	"Not at all"	4	7	7	7	"-66"	"People are too sensitive about race and gender"	"Not at all"	4	4	3	4	"-55"	"Opposition to multiculturalism"	"Not at all"	5	4	4	7	"-67"	""	"0"	"9"	"6395406"	"reps"	5	4.25	"high"	1.61875	1.44691898293633	0.648122355227547	6	5	6	6	3	4.75	5.5	1	1	1	1	4	6.25	6	3.75	3.75	5	5	7	6.25	1	1.61875	"high"	-1	1	-0.25	0	-0.75	0
"439"	"R_3svwH8AjYxduajZ"	33	"Female"	""	"Caucasian"	""	"Spiritual, but not affiliated with an organized religion"	""	"50"	"45"	2	2	6	8	1	1	6	5	4	5	4	4	"3 Slightly disagree"	"4 Neutral"	"5 Slightly agree"	"3 Slightly disagree"	"4 Neutral"	-92	37	83	-95	-100	5	5	5	3	"94"	3	4	5	3	"72"	1	4	3	2	"65"	3	3	3	3	"68"	"Democrats"	"To some extent"	5	2	5	5	"70"	"Bernie Sanders"	"&nbsp;"	4	3	3	5	"-45"	"People are too insensitive about race and gender"	"To a large extent"	3	3	5	4	"66"	"Support of multiculturalism"	"To some extent"	4	4	7	2	"87"	""	"1"	"12"	"1628946"	"reps"	6	3.875	"high"	1.24375	1.35454566280531	0.555749035096532	2	5	4	2	3	4.25	3.5	0	1	0	1	2	4.5	4.25	2.5	3.75	3	4.25	3.75	3.75	-1	-1.24375	"high"	1	1	-0.25	1.25	0	1.25
"339"	"R_2e9ioOT8tnJwIi3"	41	"Male"	""	"Caucasian"	""	"Christianity"	""	"24"	"34"	3	3	6	4	2	4	5	3	3	4	3	1	"3 Slightly disagree"	"6 Agree"	"5 Slightly agree"	"3 Slightly disagree"	"4 Neutral"	-100	76	15	-68	-68	3	4	2	5	"-22"	3	3	4	5	"7"	6	3	5	5	"-20"	1	3	6	6	"-27"	"Republicans"	"&nbsp;"	4	3	3	5	"-18"	"Donald Trump"	"&nbsp;"	4	5	3	5	"-24"	"People are too sensitive about race and gender"	"To some extent"	2	3	3	4	"16"	"Support of multiculturalism"	"&nbsp;"	4	4	5	5	"-19"	""	"1"	"7"	"1331258"	"reps"	7	3.75	"high"	1.11875	1.32175583998232	0.522959212273541	2	3	4	2	3	2.75	2.5	1	0	1	1	3	3.5	3.75	4.75	3	4	4.5	3.75	4.25	-1	-1.11875	"high"	1	1	0.25	-1.75	0.5	0.5
"525"	"R_86RIrZxIPVL65R7"	31	"Female"	""	"Caucasian"	""	"Christianity"	""	"39"	"34"	1	0	2	3	1	1	3	3	6	8	5	5	"6 Agree"	"5 Slightly agree"	"6 Agree"	"5 Slightly agree"	"5 Slightly agree"	-15	14	17	0	-64	2	7	4	5	"-3"	5	6	5	3	"-40"	6	6	1	3	"0"	5	3	4	5	"0"	"Republicans"	"Not at all"	2	7	5	4	"-7"	"Donald Trump"	"Not at all"	5	5	5	2	"-39"	"People are too insensitive about race and gender"	"Not at all"	6	6	1	3	"0"	"Support of multiculturalism"	"Not at all"	4	3	4	3	"0"	""	"1"	"7"	"4980560"	"reps"	8	1.75	"medium"	-0.88125	0.559615787935423	-0.239180839773356	5	4	5	4	4	6	4.5	1	1	1	1	4	4.5	4.5	4	4	4.25	3.5	4.75	4.25	1	0.88125	"low"	1	-1	0	0	-0.5	-0.75
"600"	"R_22LIvJVT6eFa75H"	61	"Male"	""	"Caucasian"	""	"Agnostic"	""	"15"	"16"	1	5	3	5	4	4	5	4	1	7	5	0	"6 Agree"	"2 Disagree"	"7 Strongly agree"	"6 Agree"	"2 Disagree"	-87	22	-98	-95	-89	2	6	2	6	"0"	6	6	4	5	"0"	5	5	4	3	"0"	4	6	6	6	"0"	"Republicans"	"&nbsp;"	2	6	2	6	"0"	"Donald Trump"	"&nbsp;"	5	5	4	5	"0"	"People are too insensitive about race and gender"	"&nbsp;"	4	5	4	5	"0"	"Support of multiculturalism"	"&nbsp;"	4	6	6	5	"0"	""	"1"	"10"	"1101080"	"reps"	9	3.875	"high"	1.24375	1.35454566280531	0.555749035096532	5	7	6	5	1	3.25	6	1	1	1	1	4	4	4	4.25	4.5	5.5	5.25	5.25	4.75	-1	-1.24375	"high"	1	1	0	0.25	-0.5	-0.25
"582"	"R_2zXVBALk5RzRB9H"	39	"Male"	""	"Caucasian"	""	"Christianity"	""	"34"	"-7"	0	0	2	2	0	1	3	2	3	5	2	1	"5 Slightly agree"	"3 Slightly disagree"	"6 Agree"	"6 Agree"	"5 Slightly agree"	-91	-8	-68	-12	-45	3	6	6	6	"21"	2	3	4	3	"-25"	3	6	1	2	"10"	3	4	4	5	"4"	"Democrats"	"Not at all"	3	6	6	6	"10"	"Hillary Clinton"	"Not at all"	2	3	4	3	"-18"	"People are too sensitive about race and gender"	"Not at all"	3	6	1	3	"12"	"Opposition to multiculturalism"	"&nbsp;"	4	2	4	5	"12"	"Thanks!"	"0"	"7"	"756584"	"reps"	10	1.25	"low"	-1.38125	0.22314355131421	-0.575653076394568	4	6	5	5	4	2.75	5	1	1	1	1	4	5.25	5.25	3	3.25	4	3.75	3	3	-1	-1.38125	"low"	-1	-1	0	0.25	0	-0.25
