"Duration..in.seconds."	"ResponseId"	"UserLanguage"	"age"	"sex"	"sex_3_TEXT"	"eth"	"eth_9_TEXT"	"rel"	"rel_8_TEXT"	"religiousity"	"soulBelief"	"conLib_1"	"conLib_2"	"sdo_1"	"sdo_2"	"sdo_3"	"sdo_4"	"sdo_5"	"sdo_6"	"sdo_7"	"sdo_8"	"AQ_1"	"AQ_2"	"AQ_3"	"AQ_4"	"AQ_5"	"AQ_6"	"AQ_7"	"AQ_8"	"AQ_9"	"AQ_10"	"riley1_1"	"riley1_2"	"riley1_3"	"casey1_1"	"casey1_2"	"casey1_3"	"rcCheck"	"riley2_1"	"riley2_2"	"riley2_3"	"casey2_1"	"casey2_2"	"casey2_3"	"rcRel"	"abortion"	"guns"	"life2"	"conscious2"	"arm2"	"finger2"	"finger"	"arm"	"conscious"	"life"	"box"	"leftFirst"	"sacrificead"	"mTurkCode"	"team"	"id"	"sdo"	"sdo_level"	"SDO"	"libCon"	"att"	"riley1"	"casey1"	"RiCa1"	"message"	"cRel"	"Rel"	"riley2"	"casey2"
"104"	"R_1loRbBGhtiGUB8l"	"EN"	29	"Male"	""	"African American"	""	"Agnostic"	""	"Somewhat religious"	"Unsure"	13	8	3	4	6	6	3	5	4	4	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	4	4	6	4	5	4	"Liberal"	4	5	4	6	5	4	"To some extent"	"Pro life"	"Neutral"	"50"	"100"	"2"	"1"	""	""	""	""	" "	"1"	"0"	"7511330"	"reps"	1	4.375	"high"	1.75985221674877	1.05	1	4.66666666666667	4.33333333333333	4.16666666666667	-1	"To some extent"	4	4.33333333333333	5
"347"	"R_cV1xUCnJ9oSqJ1v"	"EN"	39	"Male"	""	"Asian"	""	"Christianity"	""	"Somewhat religious"	"Yes, probably"	-28	-11	6	5	3	1	6	6	5	5	"1 Definitely Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	5	1	2	7	1	5	"Conservative"	3	1	2	3	3	3	"To a large extent"	"Pro choice"	"Strongly anti gun"	""	""	""	""	"20"	"5"	"10"	"10"	""	"0"	"1"	"6713788"	"reps"	2	4.625	"high"	2.00985221674877	-1.95	1	2.66666666666667	4.33333333333333	3.16666666666667	1	"To a large extent"	7	2	3
"292"	"R_2OYJUKC2L5QbQqn"	"EN"	39	"Female"	""	"Caucasian"	""	"Christianity"	""	"Deeply religious"	"Yes, definitely"	26	27	4	3	3	5	4	5	5	4	"4 Definitely Agree"	"1 Definitely Disagree"	"4 Definitely Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"4 Definitely Agree"	"1 Definitely Disagree"	1	3	1	7	7	7	"Liberal"	1	3	1	7	7	7	"Not at all"	"Strongly pro life"	"Neutral"	""	""	""	""	"1"	"0"	"0"	"0"	""	"1"	"1"	"607117"	"reps"	3	4.125	"high"	1.50985221674877	2.65	1	1.66666666666667	7	1.33333333333333	-1	"Not at all"	1	1.66666666666667	7
"484"	"R_3qm8DCIKufZZV8N"	"EN"	46	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	50	50	7	4	7	7	7	7	7	1	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	1	1	1	7	7	7	"Conservative"	1	1	1	7	7	7	"Not at all"	"Strongly pro life"	"Strongly pro gun"	"100"	"infinite"	"infinite"	"infinite"	""	""	""	""	""	"0"	"0"	"2015989"	"reps"	4	5.875	"high"	3.25985221674877	5	1	1	7	1	1	"Not at all"	1	1	7
"396"	"R_pLhwvCJJd0sl6Pn"	"EN"	46	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, probably"	11	11	4	2	2	2	5	3	3	3	"2 Slightly Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	2	2	2	6	6	6	"Conservative"	2	2	2	6	6	6	"Not at all"	"Strongly pro choice"	"Strongly pro gun"	"1"	"1"	"1"	"5"	""	""	""	""	""	"0"	"0"	"4462763"	"reps"	5	3	"medium"	0.384852216748769	1.1	1	2	6	2	1	"Not at all"	1	2	6
"568"	"R_3NJ5Luoh7k9wufY"	"EN"	31	"Female"	""	"Caucasian"	""	"Christianity"	""	"Deeply religious"	"Yes, definitely"	50	46	2	2	2	4	5	5	4	5	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	1	1	1	7	5	7	"Liberal"	1	1	1	7	5	7	"Not at all"	"Strongly pro life"	"Pro gun"	"4"	"4"	"0"	"0"	""	""	""	""	""	"1"	"0"	"5778343"	"reps"	6	3.625	"high"	1.00985221674877	4.8	1	1	6.33333333333333	1.33333333333333	-1	"Not at all"	1	1	6.33333333333333
"278"	"R_240Z0vAYWNY6XgA"	"EN"	35	"Female"	""	"Hispanic"	""	"Christianity"	""	"Not at all religious"	"No, definitely not"	3	2	4	3	5	4	4	4	5	3	"1 Definitely Disagree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"1 Definitely Disagree"	"1 Definitely Disagree"	2	2	6	1	6	6	"Conservative"	2	6	7	4	4	7	"Not at all"	"Strongly pro choice"	"Strongly anti gun"	""	""	""	""	"100"	"35"	"35"	"35"	""	"1"	"1"	"4065622"	"reps"	7	4	"high"	1.38485221674877	0.25	0	3.33333333333333	4.33333333333333	3.5	-1	"Not at all"	1	5	5
"553"	"R_sThkYcWYdbu33rz"	"EN"	36	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	25	23	1	1	1	1	1	1	1	1	"2 Slightly Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	1	1	1	7	1	1	"Liberal"	1	1	1	7	1	1	"Not at all"	"Pro life"	"Strongly pro gun"	""	""	""	""	"0"	"0"	"0"	"0"	""	"1"	"1"	"7543836"	"reps"	8	1	"low"	-1.61514778325123	2.4	1	1	3	3	-1	"Not at all"	1	1	3
"521"	"R_sb4SzhN7CcRcOd3"	"EN"	34	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	-1	25	1	3	2	3	2	3	3	3	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"4 Definitely Agree"	"2 Slightly Disagree"	2	2	2	7	7	7	"Conservative"	2	2	2	6	6	6	"Not at all"	"Pro life"	"Pro gun"	""	""	""	""	"infinite"	"infinite"	"infinite"	"0"	""	"0"	"1"	"8258832"	"reps"	9	2.5	"medium"	-0.115147783251231	1.2	1	2	7	1.5	1	"Not at all"	1	2	6
"336"	"R_24bAxJslCOW5sie"	"EN"	42	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	40	-24	2	1	2	2	2	2	2	2	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	3	3	3	6	6	6	"Conservative"	3	3	3	6	5	6	"To some extent"	"Strongly pro life"	"Pro gun"	""	""	""	""	"2"	"2"	"100"	"1000"	""	"0"	"1"	"2549353"	"reps"	10	1.875	"medium"	-0.740147783251231	0.8	1	3	6	2.5	1	"To some extent"	4	3	5.66666666666667
"366"	"R_1mCqlRHTrJKcVvw"	"EN"	32	"Female"	""	"Caucasian"	""	"Christianity"	""	"Somewhat religious"	"Yes, definitely"	8	9	1	1	1	1	1	1	1	1	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	2	3	1	7	6	6	"Liberal"	2	3	1	7	7	6	"Not at all"	"Strongly pro life"	"Strongly pro gun"	"100"	"0"	"100"	"100"	""	""	""	""	"none"	"1"	"0"	"4532461"	"reps"	11	1	"low"	-1.61514778325123	0.85	1	2	6.33333333333333	1.83333333333333	-1	"Not at all"	1	2	6.66666666666667
